si.dos
# , E (eV) ,  dos(E)    , Int dos(E) 
  ,-7.240,0E+00,0E+00
  ,-7.230,0E+00,0E+00
  ,-7.220,0E+00,0E+00
  ,-7.210,0E+00,0E+00
  ,-7.200,0E+00,0E+00
  ,-7.190,0E+00,0E+00
  ,-7.180,0E+00,0E+00
  ,-7.170,0E+00,0E+00
  ,-7.160,0E+00,0E+00
  ,-7.150,0E+00,0E+00
  ,-7.140,0E+00,0E+00
  ,-7.130,0E+00,0E+00
  ,-7.120,0E+00,0E+00
  ,-7.110,0E+00,0E+00
  ,-7.100,0E+00,0E+00
  ,-7.090,0E+00,0E+00
  ,-7.080,0E+00,0E+00
  ,-7.070,0E+00,0E+00
  ,-7.060,0E+00,0E+00
  ,-7.050,0E+00,0E+00
  ,-7.040,0E+00,0E+00
  ,-7.030,0E+00,0E+00
  ,-7.020,0E+00,0E+00
  ,-7.010,0E+00,0E+00
  ,-7.000,0E+00,0E+00
  ,-6.990,0E+00,0E+00
  ,-6.980,0E+00,0E+00
  ,-6.970,0E+00,0E+00
  ,-6.960,0E+00,0E+00
  ,-6.950,0E+00,0E+00
  ,-6.940,0E+00,0E+00
  ,-6.930,0E+00,0E+00
  ,-6.920,0E+00,0E+00
  ,-6.910,0E+00,0E+00
  ,-6.900,0E+00,0E+00
  ,-6.890,0E+00,0E+00
  ,-6.880,0E+00,0E+00
  ,-6.870,0E+00,0E+00
  ,-6.860,0E+00,0E+00
  ,-6.850,0E+00,0E+00
  ,-6.840,0E+00,0E+00
  ,-6.830,0E+00,0E+00
  ,-6.820,0E+00,0E+00
  ,-6.810,0E+00,0E+00
  ,-6.800,0E+00,0E+00
  ,-6.790,0E+00,0E+00
  ,-6.780,0E+00,0E+00
  ,-6.770,0E+00,0E+00
  ,-6.760,0E+00,0E+00
  ,-6.750,0E+00,0E+00
  ,-6.740,0E+00,0E+00
  ,-6.730,0E+00,0E+00
  ,-6.720,0E+00,0E+00
  ,-6.710,0E+00,0E+00
  ,-6.700,0E+00,0E+00
  ,-6.690,0E+00,0E+00
  ,-6.680,0E+00,0E+00
  ,-6.670,0E+00,0E+00
  ,-6.660,0E+00,0E+00
  ,-6.650,0E+00,0E+00
  ,-6.640,0E+00,0E+00
  ,-6.630,0E+00,0E+00
  ,-6.620,0E+00,0E+00
  ,-6.610,0E+00,0E+00
  ,-6.600,0E+00,0E+00
  ,-6.590,0E+00,0E+00
  ,-6.580,0E+00,0E+00
  ,-6.570,0E+00,0E+00
  ,-6.560,0E+00,0E+00
  ,-6.550,0E+00,0E+00
  ,-6.540,0E+00,0E+00
  ,-6.530,0E+00,0E+00
  ,-6.520,0E+00,0E+00
  ,-6.510,0E+00,0E+00
  ,-6.500,0E+00,0E+00
  ,-6.490,0E+00,0E+00
  ,-6.480,0E+00,0E+00
  ,-6.470,0E+00,0E+00
  ,-6.460,0E+00,0E+00
  ,-6.450,0E+00,0E+00
  ,-6.440,0E+00,0E+00
  ,-6.430,0E+00,0E+00
  ,-6.420,0E+00,0E+00
  ,-6.410,0E+00,0E+00
  ,-6.400,0E+00,0E+00
  ,-6.390,0E+00,0E+00
  ,-6.380,0E+00,0E+00
  ,-6.370,0E+00,0E+00
  ,-6.360,0E+00,0E+00
  ,-6.350,0E+00,0E+00
  ,-6.340,0E+00,0E+00
  ,-6.330,0E+00,0E+00
  ,-6.320,0E+00,0E+00
  ,-6.310,0E+00,0E+00
  ,-6.300,0E+00,0E+00
  ,-6.290,0E+00,0E+00
  ,-6.280,0E+00,0E+00
  ,-6.270,0E+00,0E+00
  ,-6.260,0E+00,0E+00
  ,-6.250,0E+00,0E+00
